emoji,name,concept,concept_source,iconic,emojese,codepoints,status,group,subgroup
🎎,Japanese dolls,,,,,1F38E,fully-qualified,Activities,event
🎏,carp streamer,,,,,1F38F,fully-qualified,Activities,event
🎐,wind chime,,,,,1F390,fully-qualified,Activities,event
🎑,moon viewing ceremony,,,,,1F391,fully-qualified,Activities,event
🧧,red envelope,,,,,1F9E7,fully-qualified,Activities,event
🎀,ribbon,bow,emojese,ribbon,bow,1F380,fully-qualified,Activities,event
🎁,wrapped gift,gift,emojese,help,gift,1F381,fully-qualified,Activities,event
🎗️,reminder ribbon,reminder,emojese,,reminder,1F397 FE0F,fully-qualified,Activities,event
🎟️,admission tickets,,,,,1F39F FE0F,fully-qualified,Activities,event
🎫,ticket,ticket,emojese,,ticket,1F3AB,fully-qualified,Activities,event
🎖️,military medal,military,emojese,medal,military,1F396 FE0F,fully-qualified,Activities,award-medal
🏆,trophy,trophy,emojese,trophy,trophy,1F3C6,fully-qualified,Activities,award-medal
🏅,sports medal,,,,,1F3C5,fully-qualified,Activities,award-medal
🥇,1st place medal,first,emojese,,first,1F947,fully-qualified,Activities,award-medal
🥈,2nd place medal,second,emojese,prize,second,1F948,fully-qualified,Activities,award-medal
🥉,3rd place medal,third,emojese,,third,1F949,fully-qualified,Activities,award-medal
⚽,soccer ball,soccer,emojese,,soccer,26BD,fully-qualified,Activities,sport
⚾,baseball,baseball,emojese,baseball,baseball,26BE,fully-qualified,Activities,sport
🥎,softball,softball,emojese,,softball,1F94E,fully-qualified,Activities,sport
🏀,basketball,basketball,emojese,basketball,basketball,1F3C0,fully-qualified,Activities,sport
🏐,volleyball,volleyball,emojese,volleyball,volleyball,1F3D0,fully-qualified,Activities,sport
🏈,american football,football,emojese,nfl,football,1F3C8,fully-qualified,Activities,sport
🏉,rugby football,,,,,1F3C9,fully-qualified,Activities,sport
🎾,tennis,tennis,emojese,tennis,tennis,1F3BE,fully-qualified,Activities,sport
🥏,flying disc,frisbee,emojese,,frisbee,1F94F,fully-qualified,Activities,sport
🎳,bowling,bowling,iconic,bowling,,1F3B3,fully-qualified,Activities,sport
🏏,cricket game,cricket,emojese,,cricket,1F3CF,fully-qualified,Activities,sport
🏑,field hockey,,,,,1F3D1,fully-qualified,Activities,sport
🏒,ice hockey,,,,,1F3D2,fully-qualified,Activities,sport
🥍,lacrosse,lacrosse,emojese,,lacrosse,1F94D,fully-qualified,Activities,sport
🏓,ping pong,,,,,1F3D3,fully-qualified,Activities,sport
🏸,badminton,badminton,emojese,,badminton,1F3F8,fully-qualified,Activities,sport
🥊,boxing glove,boxing,emojese,boxing,box,1F94A,fully-qualified,Activities,sport
🥋,martial arts uniform,,,,,1F94B,fully-qualified,Activities,sport
🥅,goal net,goal,emojese,,goal,1F945,fully-qualified,Activities,sport
⛳,flag in hole,ground,emojese,golf,ground,26F3,fully-qualified,Activities,sport
⛸️,ice skate,skate,emojese,iceskates,skate,26F8 FE0F,fully-qualified,Activities,sport
🎣,fishing pole,fishing,emojese,fishingrod,fish,1F3A3,fully-qualified,Activities,sport
🤿,diving mask,dive,emojese,,dive,1F93F,fully-qualified,Activities,sport
🎽,running shirt,,,,,1F3BD,fully-qualified,Activities,sport
🎿,skis,,,sled,,1F3BF,fully-qualified,Activities,sport
🛷,sled,sled,emojese,,sled,1F6F7,fully-qualified,Activities,sport
🥌,curling stone,curlingstone,iconic,curlingstone,,1F94C,fully-qualified,Activities,sport
🎯,bullseye,target,emojese,dart,target,1F3AF,fully-qualified,Activities,game
🪀,yo-yo,yo-yo,emojese,yoyo,yo-yo,1FA80,fully-qualified,Activities,game
🪁,kite,kite,emojese,kite,kite,1FA81,fully-qualified,Activities,game
🔫,water pistol,gun,emojese,,gun,1F52B,fully-qualified,Activities,game
🎱,pool 8 ball,billiards,emojese,bowlingball,billiards,1F3B1,fully-qualified,Activities,game
🔮,crystal ball,future,emojese,crystalball,future,1F52E,fully-qualified,Activities,game
🪄,magic wand,magic,emojese,,magic,1FA84,fully-qualified,Activities,game
🎮,video game,gamepad,iconic,gamepad,,1F3AE,fully-qualified,Activities,game
🕹️,joystick,joystick,emojese,joystick,joystick,1F579 FE0F,fully-qualified,Activities,game
🎰,slot machine,try,emojese,,try,1F3B0,fully-qualified,Activities,game
🎲,game die,die,iconic,die,,1F3B2,fully-qualified,Activities,game
🧩,puzzle piece,piece,emojese,puzzlepiece,piece,1F9E9,fully-qualified,Activities,game
🧸,teddy bear,teddy,iconic,teddy,,1F9F8,fully-qualified,Activities,game
🪅,piñata,,,,,1FA85,fully-qualified,Activities,game
🪩,mirror ball,,,,,1FAA9,fully-qualified,Activities,game
🪆,nesting dolls,,,,,1FA86,fully-qualified,Activities,game
♠️,spade suit,spade,iconic,spade,,2660 FE0F,fully-qualified,Activities,game
♥️,heart suit,,,,,2665 FE0F,fully-qualified,Activities,game
♦️,diamond suit,,,,,2666 FE0F,fully-qualified,Activities,game
♣️,club suit,,,,,2663 FE0F,fully-qualified,Activities,game
♟️,chess pawn,pawn,iconic,pawn,,265F FE0F,fully-qualified,Activities,game
🃏,joker,,,,,1F0CF,fully-qualified,Activities,game
🀄,mahjong red dragon,,,,,1F004,fully-qualified,Activities,game
🎴,flower playing cards,hanafuda,iconic,hanafuda,,1F3B4,fully-qualified,Activities,game
🎭,performing arts,masks,iconic,masks,,1F3AD,fully-qualified,Activities,arts & crafts
🖼️,framed picture,image,emojese,illustration,image,1F5BC FE0F,fully-qualified,Activities,arts & crafts
🎨,artist palette,color,emojese,palette,color,1F3A8,fully-qualified,Activities,arts & crafts
🧵,thread,thread,emojese,ligament,thread,1F9F5,fully-qualified,Activities,arts & crafts
🪡,sewing needle,needle,emojese,,needle,1FAA1,fully-qualified,Activities,arts & crafts
🧶,yarn,yarn,emojese,yarn,yarn,1F9F6,fully-qualified,Activities,arts & crafts
🪢,knot,knot,emojese,,knot,1FAA2,fully-qualified,Activities,arts & crafts
👓,glasses,glasses,emojese,glasses,glasses,1F453,fully-qualified,Objects,clothing
🕶️,sunglasses,sunglasses,emojese,,sunglasses,1F576 FE0F,fully-qualified,Objects,clothing
🥽,goggles,goggles,emojese,goggles,goggles,1F97D,fully-qualified,Objects,clothing
🥼,lab coat,,,coat,,1F97C,fully-qualified,Objects,clothing
🦺,safety vest,,,,,1F9BA,fully-qualified,Objects,clothing
👔,necktie,tie,emojese,necktie,tie,1F454,fully-qualified,Objects,clothing
👕,t-shirt,shirt,emojese,shirt,shirt,1F455,fully-qualified,Objects,clothing
👖,jeans,jeans,emojese,trousers,jeans,1F456,fully-qualified,Objects,clothing
🧣,scarf,scarf,emojese,scarf,scarf,1F9E3,fully-qualified,Objects,clothing
🧤,gloves,gloves,emojese,gloves,gloves,1F9E4,fully-qualified,Objects,clothing
🧥,coat,coat,emojese,jacket,coat,1F9E5,fully-qualified,Objects,clothing
🧦,socks,sock,emojese,socks,sock,1F9E6,fully-qualified,Objects,clothing
👗,dress,dress,emojese,dress,dress,1F457,fully-qualified,Objects,clothing
👘,kimono,kimono,emojese,kimono,kimono,1F458,fully-qualified,Objects,clothing
🥻,sari,sari,emojese,,sari,1F97B,fully-qualified,Objects,clothing
🩱,one-piece swimsuit,swimsuit,iconic,swimsuit,,1FA71,fully-qualified,Objects,clothing
🩲,briefs,briefs,emojese,briefs,briefs,1FA72,fully-qualified,Objects,clothing
🩳,shorts,shorts,emojese,bathingrunks,shorts,1FA73,fully-qualified,Objects,clothing
👙,bikini,bikini,emojese,bikini,bikini,1F459,fully-qualified,Objects,clothing
👚,woman’s clothes,blouse,emojese,blouse,blouse,1F45A,fully-qualified,Objects,clothing
🪭,folding hand fan,fan,emojese,,fan,1FAAD,fully-qualified,Objects,clothing
👛,purse,purse,emojese,purse,purse,1F45B,fully-qualified,Objects,clothing
👜,handbag,handbag,emojese,have,handbag,1F45C,fully-qualified,Objects,clothing
👝,clutch bag,,,,,1F45D,fully-qualified,Objects,clothing
🛍️,shopping bags,bag,emojese,,bag,1F6CD FE0F,fully-qualified,Objects,clothing
🎒,backpack,backpack,iconic,backpack,,1F392,fully-qualified,Objects,clothing
🩴,thong sandal,sandal,emojese,,sandal,1FA74,fully-qualified,Objects,clothing
👞,man’s shoe,shoe,emojese,,shoe,1F45E,fully-qualified,Objects,clothing
👟,running shoe,sneaker,iconic,sneaker,,1F45F,fully-qualified,Objects,clothing
🥾,hiking boot,boot,emojese,,boot,1F97E,fully-qualified,Objects,clothing
🥿,flat shoe,,,,,1F97F,fully-qualified,Objects,clothing
👠,high-heeled shoe,highheel,iconic,highheel,,1F460,fully-qualified,Objects,clothing
👡,woman’s sandal,,,,,1F461,fully-qualified,Objects,clothing
🩰,ballet shoes,balletshoes,iconic,balletshoes,,1FA70,fully-qualified,Objects,clothing
👢,woman’s boot,,,boot,,1F462,fully-qualified,Objects,clothing
🪮,hair pick,,,,,1FAAE,fully-qualified,Objects,clothing
👑,crown,crown,emojese,crown,crown,1F451,fully-qualified,Objects,clothing
👒,woman’s hat,ribbonhat,iconic,ribbonhat,,1F452,fully-qualified,Objects,clothing
🎩,top hat,tophat,iconic,tophat,,1F3A9,fully-qualified,Objects,clothing
🎓,graduation cap,knowledge,emojese,academichat,knowledge,1F393,fully-qualified,Objects,clothing
🧢,billed cap,cap,emojese,cap,cap,1F9E2,fully-qualified,Objects,clothing
🪖,military helmet,,,,,1FA96,fully-qualified,Objects,clothing
⛑️,rescue worker’s helmet,rescue,emojese,,rescue,26D1 FE0F,fully-qualified,Objects,clothing
📿,prayer beads,prayerbeads,iconic,prayerbeads,,1F4FF,fully-qualified,Objects,clothing
💄,lipstick,lipstick,emojese,lipstick,lipstick,1F484,fully-qualified,Objects,clothing
💍,ring,ring,emojese,ring,ring,1F48D,fully-qualified,Objects,clothing
💎,gem stone,jewel,emojese,,jewel,1F48E,fully-qualified,Objects,clothing
🔇,muted speaker,silence,emojese,,silence,1F507,fully-qualified,Objects,sound
🔈,speaker low volume,,,,,1F508,fully-qualified,Objects,sound
🔉,speaker medium volume,,,,,1F509,fully-qualified,Objects,sound
🔊,speaker high volume,sound,emojese,noise,sound,1F50A,fully-qualified,Objects,sound
📢,loudspeaker,loud,emojese,speaker,loud,1F4E2,fully-qualified,Objects,sound
📣,megaphone,megaphone,iconic,megaphone,,1F4E3,fully-qualified,Objects,sound
📯,postal horn,,,,,1F4EF,fully-qualified,Objects,sound
🔔,bell,bell,emojese,bell,bell,1F514,fully-qualified,Objects,sound
🔕,bell with slash,,,,,1F515,fully-qualified,Objects,sound
🎼,musical score,,,,,1F3BC,fully-qualified,Objects,music
🎵,musical note,melody,iconic,melody,,1F3B5,fully-qualified,Objects,music
🎶,musical notes,music,emojese,,music,1F3B6,fully-qualified,Objects,music
🎙️,studio microphone,,,microphone,,1F399 FE0F,fully-qualified,Objects,music
🎚️,level slider,trigger,iconic,trigger,,1F39A FE0F,fully-qualified,Objects,music
🎛️,control knobs,complex,emojese,,complex,1F39B FE0F,fully-qualified,Objects,music
🎤,microphone,microphone,emojese,handmike,microphone,1F3A4,fully-qualified,Objects,music
🎧,headphone,headphones,emojese,headphones,headphones,1F3A7,fully-qualified,Objects,music
📻,radio,radio,emojese,,radio,1F4FB,fully-qualified,Objects,music
🎷,saxophone,saxophone,emojese,saxophone,saxophone,1F3B7,fully-qualified,Objects,musical-instrument
🎺,trumpet,trumpet,emojese,trumpet,trumpet,1F3BA,fully-qualified,Objects,musical-instrument
🪊,trombone,,,,,1FA8A,fully-qualified,Objects,musical-instrument
🪗,accordion,accordion,emojese,,accordion,1FA97,fully-qualified,Objects,musical-instrument
🎸,guitar,guitar,emojese,guitar,guitar,1F3B8,fully-qualified,Objects,musical-instrument
🎹,musical keyboard,piano,emojese,piano,piano,1F3B9,fully-qualified,Objects,musical-instrument
🎻,violin,violin,emojese,violin,violin,1F3BB,fully-qualified,Objects,musical-instrument
🪕,banjo,banjo,emojese,banjo,banjo,1FA95,fully-qualified,Objects,musical-instrument
🥁,drum,drum,emojese,drum,drum,1F941,fully-qualified,Objects,musical-instrument
🪘,long drum,,,,,1FA98,fully-qualified,Objects,musical-instrument
🪇,maracas,maracas,emojese,,maracas,1FA87,fully-qualified,Objects,musical-instrument
🪈,flute,flute,emojese,,flute,1FA88,fully-qualified,Objects,musical-instrument
🪉,harp,,,,,1FA89,fully-qualified,Objects,musical-instrument
📱,mobile phone,phone,emojese,,phone,1F4F1,fully-qualified,Objects,phone
📲,mobile phone with arrow,,,,,1F4F2,fully-qualified,Objects,phone
☎️,telephone,telephone,iconic,telephone,,260E FE0F,fully-qualified,Objects,phone
📞,telephone receiver,call,emojese,receiver,call,1F4DE,fully-qualified,Objects,phone
📟,pager,pager,emojese,,pager,1F4DF,fully-qualified,Objects,phone
📠,fax machine,fax,emojese,,fax,1F4E0,fully-qualified,Objects,phone
🔋,battery,battery,emojese,battery,battery,1F50B,fully-qualified,Objects,computer
🪫,low battery,,,,,1FAAB,fully-qualified,Objects,computer
🔌,electric plug,plug,emojese,,plug,1F50C,fully-qualified,Objects,computer
💻,laptop,laptop,emojese,laptop,laptop,1F4BB,fully-qualified,Objects,computer
🖥️,desktop computer,computer,emojese,monitor,computer,1F5A5 FE0F,fully-qualified,Objects,computer
🖨️,printer,printer,emojese,printer,printer,1F5A8 FE0F,fully-qualified,Objects,computer
⌨️,keyboard,keyboard,emojese,,keyboard,2328 FE0F,fully-qualified,Objects,computer
🖱️,computer mouse,computermouse,emojese,desktopmouse,mouse,1F5B1 FE0F,fully-qualified,Objects,computer
🖲️,trackball,trackball,emojese,trackball,trackball,1F5B2 FE0F,fully-qualified,Objects,computer
💽,computer disk,minidisk,iconic,minidisk,,1F4BD,fully-qualified,Objects,computer
💾,floppy disk,keep,emojese,floppydisk,keep,1F4BE,fully-qualified,Objects,computer
💿,optical disk,disk,iconic,disk,,1F4BF,fully-qualified,Objects,computer
📀,dvd,DVD,emojese,dvd,DVD,1F4C0,fully-qualified,Objects,computer
🧮,abacus,abacus,emojese,,abacus,1F9EE,fully-qualified,Objects,computer
🎥,movie camera,filmcamera,iconic,filmcamera,,1F3A5,fully-qualified,Objects,light & video
🎞️,film frames,movie,emojese,filmframe,movie,1F39E FE0F,fully-qualified,Objects,light & video
📽️,film projector,projector,iconic,projector,,1F4FD FE0F,fully-qualified,Objects,light & video
🎬,clapper board,activity,iconic,activity,,1F3AC,fully-qualified,Objects,light & video
📺,television,TV,emojese,television,TV,1F4FA,fully-qualified,Objects,light & video
📷,camera,camera,emojese,camera,camera,1F4F7,fully-qualified,Objects,light & video
📸,camera with flash,,,,,1F4F8,fully-qualified,Objects,light & video
📹,video camera,videocamera,iconic,videocamera,,1F4F9,fully-qualified,Objects,light & video
📼,videocassette,videocassette,emojese,cassette,videocassette,1F4FC,fully-qualified,Objects,light & video
🔍,magnifying glass tilted left,find,emojese,ob,find,1F50D,fully-qualified,Objects,light & video
🔎,magnifying glass tilted right,,,,,1F50E,fully-qualified,Objects,light & video
🕯️,candle,candle,emojese,candle,candle,1F56F FE0F,fully-qualified,Objects,light & video
💡,light bulb,light,emojese,lightbulb,light,1F4A1,fully-qualified,Objects,light & video
🔦,flashlight,flashlight,emojese,flashlight,flashlight,1F526,fully-qualified,Objects,light & video
🏮,red paper lantern,lantern,emojese,redlantern,lantern,1F3EE,fully-qualified,Objects,light & video
🪔,diya lamp,oillamp,iconic,oillamp,,1FA94,fully-qualified,Objects,light & video
📔,notebook with decorative cover,,,,,1F4D4,fully-qualified,Objects,book-paper
📕,closed book,,,,book,1F4D5,fully-qualified,Objects,book-paper
📖,open book,book,iconic,book,,1F4D6,fully-qualified,Objects,book-paper
📗,green book,,,,,1F4D7,fully-qualified,Objects,book-paper
📘,blue book,,,,,1F4D8,fully-qualified,Objects,book-paper
📙,orange book,,,,,1F4D9,fully-qualified,Objects,book-paper
📚,books,books,iconic,books,,1F4DA,fully-qualified,Objects,book-paper
📓,notebook,notebook,emojese,,notebook,1F4D3,fully-qualified,Objects,book-paper
📒,ledger,ledger,emojese,,ledger,1F4D2,fully-qualified,Objects,book-paper
📃,page with curl,,,,,1F4C3,fully-qualified,Objects,book-paper
📜,scroll,scroll,emojese,scroll,scroll,1F4DC,fully-qualified,Objects,book-paper
📄,page facing up,page,emojese,,page,1F4C4,fully-qualified,Objects,book-paper
📰,newspaper,newspaper,emojese,newspaper,newspaper,1F4F0,fully-qualified,Objects,book-paper
🗞️,rolled-up newspaper,,,,,1F5DE FE0F,fully-qualified,Objects,book-paper
📑,bookmark tabs,,,,,1F4D1,fully-qualified,Objects,book-paper
🔖,bookmark,bookmark,emojese,bookmark,bookmark,1F516,fully-qualified,Objects,book-paper
🏷️,label,of,emojese,label,of,1F3F7 FE0F,fully-qualified,Objects,book-paper
🪙,coin,coin,emojese,,coin,1FA99,fully-qualified,Objects,money
💰,money bag,money,iconic,money,,1F4B0,fully-qualified,Objects,money
🪎,treasure chest,,,,,1FA8E,fully-qualified,Objects,money
💴,yen banknote,,,,,1F4B4,fully-qualified,Objects,money
💵,dollar banknote,,,,money,1F4B5,fully-qualified,Objects,money
💶,euro banknote,,,,,1F4B6,fully-qualified,Objects,money
💷,pound banknote,,,,,1F4B7,fully-qualified,Objects,money
💸,money with wings,spend,emojese,flyingmoney,spend,1F4B8,fully-qualified,Objects,money
💳,credit card,,,,,1F4B3,fully-qualified,Objects,money
🧾,receipt,receipt,emojese,,receipt,1F9FE,fully-qualified,Objects,money
💹,chart increasing with yen,,,,,1F4B9,fully-qualified,Objects,money
✉️,envelope,mail,emojese,mail,mail,2709 FE0F,fully-qualified,Objects,mail
📧,e-mail,email,emojese,,email,1F4E7,fully-qualified,Objects,mail
📨,incoming envelope,,,,,1F4E8,fully-qualified,Objects,mail
📩,envelope with arrow,getletter,iconic,getletter,,1F4E9,fully-qualified,Objects,mail
📤,outbox tray,out,emojese,outboxtray,out,1F4E4,fully-qualified,Objects,mail
📥,inbox tray,in,emojese,inboxtray,in,1F4E5,fully-qualified,Objects,mail
📦,package,box,emojese,exist,box,1F4E6,fully-qualified,Objects,mail
📫,closed mailbox with raised flag,closedmailbox,iconic,closedmailbox,,1F4EB,fully-qualified,Objects,mail
📪,closed mailbox with lowered flag,,,,,1F4EA,fully-qualified,Objects,mail
📬,open mailbox with raised flag,until,iconic,until,,1F4EC,fully-qualified,Objects,mail
📭,open mailbox with lowered flag,,,,,1F4ED,fully-qualified,Objects,mail
📮,postbox,,,,,1F4EE,fully-qualified,Objects,mail
🗳️,ballot box with ballot,vote,emojese,,vote,1F5F3 FE0F,fully-qualified,Objects,mail
✏️,pencil,pencil,emojese,pencil,pencil,270F FE0F,fully-qualified,Objects,writing
✒️,black nib,,,pen,,2712 FE0F,fully-qualified,Objects,writing
🖋️,fountain pen,,,,,1F58B FE0F,fully-qualified,Objects,writing
🖊️,pen,pen,emojese,,pen,1F58A FE0F,fully-qualified,Objects,writing
🖌️,paintbrush,paintbrush,emojese,,paintbrush,1F58C FE0F,fully-qualified,Objects,writing
🖍️,crayon,crayon,emojese,crayon,crayon,1F58D FE0F,fully-qualified,Objects,writing
📝,memo,memo,emojese,document,memo,1F4DD,fully-qualified,Objects,writing
💼,briefcase,case,emojese,briefcase,case,1F4BC,fully-qualified,Objects,office
📁,file folder,folder,emojese,folder,folder,1F4C1,fully-qualified,Objects,office
📂,open file folder,,,,,1F4C2,fully-qualified,Objects,office
🗂️,card index dividers,category,emojese,,category,1F5C2 FE0F,fully-qualified,Objects,office
📅,calendar,date,emojese,calendar,date,1F4C5,fully-qualified,Objects,office
📆,tear-off calendar,,,date,,1F4C6,fully-qualified,Objects,office
🗒️,spiral notepad,,,,,1F5D2 FE0F,fully-qualified,Objects,office
🗓️,spiral calendar,month,emojese,,month,1F5D3 FE0F,fully-qualified,Objects,office
📇,card index,,,,,1F4C7,fully-qualified,Objects,office
📈,chart increasing,increase,iconic,increase,,1F4C8,fully-qualified,Objects,office
📉,chart decreasing,,,,,1F4C9,fully-qualified,Objects,office
📊,bar chart,chart,iconic,chart,,1F4CA,fully-qualified,Objects,office
📋,clipboard,clipboard,iconic,clipboard,,1F4CB,fully-qualified,Objects,office
📌,pushpin,pin,iconic,pin,,1F4CC,fully-qualified,Objects,office
📍,round pushpin,place,emojese,,place,1F4CD,fully-qualified,Objects,office
📎,paperclip,paperclip,emojese,paperclip,paperclip,1F4CE,fully-qualified,Objects,office
🖇️,linked paperclips,,,,,1F587 FE0F,fully-qualified,Objects,office
📏,straight ruler,ruler,emojese,degree,ruler,1F4CF,fully-qualified,Objects,office
📐,triangular ruler,triangleruler,iconic,triangleruler,,1F4D0,fully-qualified,Objects,office
✂️,scissors,scissors,emojese,scissors,scissors,2702 FE0F,fully-qualified,Objects,office
🗃️,card file box,organize,emojese,cardbox,organize,1F5C3 FE0F,fully-qualified,Objects,office
🗄️,file cabinet,filecabinet,iconic,filecabinet,,1F5C4 FE0F,fully-qualified,Objects,office
🗑️,wastebasket,wastebasket,emojese,bin,wastebasket,1F5D1 FE0F,fully-qualified,Objects,office
🔒,locked,lock,emojese,,lock,1F512,fully-qualified,Objects,lock
🔓,unlocked,unlock,emojese,,unlock,1F513,fully-qualified,Objects,lock
🔏,locked with pen,,,,,1F50F,fully-qualified,Objects,lock
🔐,locked with key,,,,,1F510,fully-qualified,Objects,lock
🔑,key,key,emojese,,key,1F511,fully-qualified,Objects,lock
🗝️,old key,oldkey,iconic,oldkey,,1F5DD FE0F,fully-qualified,Objects,lock
🔨,hammer,hammer,emojese,through,hammer,1F528,fully-qualified,Objects,tool
🪓,axe,axe,emojese,axe,axe,1FA93,fully-qualified,Objects,tool
⛏️,pick,pickaxe,emojese,pickaxe,pickaxe,26CF FE0F,fully-qualified,Objects,tool
⚒️,hammer and pick,hammerpick,iconic,hammerpick,,2692 FE0F,fully-qualified,Objects,tool
🛠️,hammer and wrench,hammerwrench,iconic,hammerwrench,,1F6E0 FE0F,fully-qualified,Objects,tool
🗡️,dagger,dagger,emojese,dagger,dagger,1F5E1 FE0F,fully-qualified,Objects,tool
⚔️,crossed swords,swords,iconic,swords,,2694 FE0F,fully-qualified,Objects,tool
💣,bomb,bomb,emojese,bomb,bomb,1F4A3,fully-qualified,Objects,tool
🪃,boomerang,boomerang,emojese,,boomerang,1FA83,fully-qualified,Objects,tool
🏹,bow and arrow,,,,,1F3F9,fully-qualified,Objects,tool
🛡️,shield,shield,emojese,shield,shield,1F6E1 FE0F,fully-qualified,Objects,tool
🪚,carpentry saw,saw,emojese,,saw,1FA9A,fully-qualified,Objects,tool
🔧,wrench,wrench,emojese,wrench,wrench,1F527,fully-qualified,Objects,tool
🪛,screwdriver,screwdriver,emojese,,screwdriver,1FA9B,fully-qualified,Objects,tool
🔩,nut and bolt,,,,,1F529,fully-qualified,Objects,tool
⚙️,gear,engine,emojese,cogwheel,engine,2699 FE0F,fully-qualified,Objects,tool
🗜️,clamp,clamp,emojese,clamp,clamp,1F5DC FE0F,fully-qualified,Objects,tool
⚖️,balance scale,scale,emojese,scales,scale,2696 FE0F,fully-qualified,Objects,tool
🦯,white cane,,,,,1F9AF,fully-qualified,Objects,tool
🔗,link,relation,emojese,according,relation,1F517,fully-qualified,Objects,tool
⛓️‍💥,broken chain,,,,,26D3 FE0F 200D 1F4A5,fully-qualified,Objects,tool
⛓️,chains,chain,emojese,chain,chain,26D3 FE0F,fully-qualified,Objects,tool
🪝,hook,hook,emojese,,hook,1FA9D,fully-qualified,Objects,tool
🧰,toolbox,work,emojese,toolbox,work,1F9F0,fully-qualified,Objects,tool
🧲,magnet,magnet,emojese,magnet,magnet,1F9F2,fully-qualified,Objects,tool
🪜,ladder,ladder,emojese,,ladder,1FA9C,fully-qualified,Objects,tool
🪏,shovel,,,,,1FA8F,fully-qualified,Objects,tool
⚗️,alembic,alembic,iconic,alembic,,2697 FE0F,fully-qualified,Objects,science
🧪,test tube,material,emojese,tube,material,1F9EA,fully-qualified,Objects,science
🧫,petri dish,petridish,iconic,petridish,,1F9EB,fully-qualified,Objects,science
🧬,dna,DNA,emojese,gene,DNA,1F9EC,fully-qualified,Objects,science
🔬,microscope,microscope,iconic,microscope,,1F52C,fully-qualified,Objects,science
🔭,telescope,telescope,iconic,telescope,,1F52D,fully-qualified,Objects,science
📡,satellite antenna,antenna,iconic,antenna,,1F4E1,fully-qualified,Objects,science
💉,syringe,syringe,emojese,syringe,syringe,1F489,fully-qualified,Objects,medical
🩸,drop of blood,blood,emojese,,blood,1FA78,fully-qualified,Objects,medical
💊,pill,pill,emojese,pill,pill,1F48A,fully-qualified,Objects,medical
🩹,adhesive bandage,bandage,emojese,plaster,bandage,1FA79,fully-qualified,Objects,medical
🩼,crutch,crutch,emojese,,crutch,1FA7C,fully-qualified,Objects,medical
🩺,stethoscope,stethoscope,emojese,stethoscope,stethoscope,1FA7A,fully-qualified,Objects,medical
🩻,x-ray,x-ray,emojese,,x-ray,1FA7B,fully-qualified,Objects,medical
🚪,door,door,emojese,door,door,1F6AA,fully-qualified,Objects,household
🛗,elevator,elevator,emojese,,elevator,1F6D7,fully-qualified,Objects,household
🪞,mirror,mirror,emojese,,mirror,1FA9E,fully-qualified,Objects,household
🪟,window,window,emojese,,window,1FA9F,fully-qualified,Objects,household
🛏️,bed,bed,emojese,,bed,1F6CF FE0F,fully-qualified,Objects,household
🛋️,couch and lamp,,,,,1F6CB FE0F,fully-qualified,Objects,household
🪑,chair,chair,emojese,chair,chair,1FA91,fully-qualified,Objects,household
🚽,toilet,toilet,emojese,,toilet,1F6BD,fully-qualified,Objects,household
🪠,plunger,plunger,emojese,,plunger,1FAA0,fully-qualified,Objects,household
🚿,shower,shower,emojese,shower,shower,1F6BF,fully-qualified,Objects,household
🛁,bathtub,bathtub,emojese,bathtub,bathtub,1F6C1,fully-qualified,Objects,household
🪤,mouse trap,trap,emojese,,trap,1FAA4,fully-qualified,Objects,household
🪒,razor,razor,emojese,razor,razor,1FA92,fully-qualified,Objects,household
🧴,lotion bottle,lotion,emojese,,lotion,1F9F4,fully-qualified,Objects,household
🧷,safety pin,safetypin,iconic,safetypin,,1F9F7,fully-qualified,Objects,household
🧹,broom,broom,emojese,broom,broom,1F9F9,fully-qualified,Objects,household
🧺,basket,basket,emojese,basket,basket,1F9FA,fully-qualified,Objects,household
🧻,roll of paper,toiletpaper,iconic,toiletpaper,,1F9FB,fully-qualified,Objects,household
🪣,bucket,bucket,emojese,,bucket,1FAA3,fully-qualified,Objects,household
🧼,soap,soap,emojese,soap,soap,1F9FC,fully-qualified,Objects,household
🫧,bubbles,bubble,emojese,,bubble,1FAE7,fully-qualified,Objects,household
🪥,toothbrush,toothbrush,emojese,,toothbrush,1FAA5,fully-qualified,Objects,household
🧽,sponge,sponge,emojese,sponge,sponge,1F9FD,fully-qualified,Objects,household
🧯,fire extinguisher,extinguisher,iconic,extinguisher,,1F9EF,fully-qualified,Objects,household
🛒,shopping cart,cart,iconic,cart,,1F6D2,fully-qualified,Objects,household
🚬,cigarette,cigarette,emojese,cigarette,cigarette,1F6AC,fully-qualified,Objects,other-object
⚰️,coffin,coffin,emojese,coffin,coffin,26B0 FE0F,fully-qualified,Objects,other-object
🪦,headstone,tombstone,emojese,,tombstone,1FAA6,fully-qualified,Objects,other-object
⚱️,funeral urn,urn,iconic,urn,,26B1 FE0F,fully-qualified,Objects,other-object
🧿,nazar amulet,envy,emojese,,envy,1F9FF,fully-qualified,Objects,other-object
🪬,hamsa,,,,,1FAAC,fully-qualified,Objects,other-object
🗿,moai,moai,iconic,moai,,1F5FF,fully-qualified,Objects,other-object
🪧,placard,sign,emojese,,sign,1FAA7,fully-qualified,Objects,other-object
🪪,identification card,idcard,emojese,,ID,1FAAA,fully-qualified,Objects,other-object
